Feature,AD_Mean,HC_Mean,AD_Std,HC_Std,U_Statistic,P_Value,Effect_Size,Significant
F2_gamma,-1.1098246917029633,-1.3559395912922154,0.47161179476086723,0.4876993804474871,21100.0,0.00022919386311026703,0.5130354064727792,True
Fp2_gamma,-1.1098246917029633,-1.34827281167543,0.47161179476086723,0.4816963890644432,20996.0,0.0003181650220293661,0.5002260199729746,True
F4_beta,-0.5171975282868361,-0.693822593054118,0.3636517118755639,0.34762239195600975,21228.0,0.00015165489046443587,0.4965180912151326,True
Fz_gamma,-1.669349220136052,-1.8118198229369162,0.3747735704787888,0.31388277390529856,20542.0,0.001231178988661176,0.41215601223915516,True
C3_beta,-0.6110703972706141,-0.7276903276190877,0.3158223614852363,0.30947905897260114,20377.0,0.0019507113478267552,0.37298469632299164,True
C3_gamma,-1.3410754013755841,-1.470827412668161,0.4878501020846001,0.41968932357395955,18713.0,0.0806266526587241,0.28513935198264156,False
Fp2_beta,-0.5799990443835206,-0.6730182426423956,0.3360038023702384,0.32669884594370374,19114.0,0.03821599899587353,0.28069913587895107,True
Fz_beta,-0.7625966505887521,-0.8278932826727927,0.24018183265131857,0.292591901471658,18840.0,0.06429333540331908,0.24394208122904218,False
F2_beta,-0.5799990443835206,-0.6572642409334393,0.3360038023702384,0.34375559072453277,18761.0,0.07409594391037885,0.2273162352788645,False
F8_delta,0.5675694073880202,0.48008241500926846,0.442892469540448,0.3453757899817267,18263.0,0.16702628714143652,0.22029333522363043,False
F3_delta,0.18838880637056826,0.26339382563484715,0.4051265881031833,0.33271700665046705,14043.0,0.04110199269112032,0.20233672232050964,True
F7_delta,0.5615135711750859,0.4836085677183446,0.4121337595581246,0.3568960546306425,18620.0,0.09460740744047977,0.2020853064310677,False
F4_delta,0.22993055556441838,0.29964715055679225,0.441745671899273,0.2496552226333638,13875.0,0.029342390193506058,0.1943078764567915,True
C3_alpha,-0.09709755907068789,-0.18050261343311647,0.38600558048612366,0.49800899980493213,18703.0,0.08204440713209421,0.18719957348879834,False
Fz_delta,0.21519862145657614,0.27737548351101965,0.409379517508324,0.26480473022175566,14042.0,0.04102163097158362,0.18035044105131787,True
F2_alpha,-0.08954496829766942,-0.011152945064927462,0.40228919847798955,0.5917236858730743,15810.0,0.5429709852021603,0.15493984663227697,False
Fz_alpha,-0.06759371152495836,-0.0024525337943168174,0.4125659027270619,0.5866037196758227,15634.0,0.4525469726113779,0.1284565339263745,False
Fp2_alpha,-0.08954496829766942,-0.02671098228883438,0.40228919847798955,0.5836544588827862,16160.0,0.7457477204312213,0.12535633161463947,False
F8_beta,-0.5576363624875408,-0.5190682675839815,0.32152429453024406,0.37554025363011134,15624.0,0.44767787401440007,0.11032785172441732,False
F2_delta,0.5451458670619377,0.5045235310881405,0.5376965605161669,0.3458254396913362,16867.0,0.8035397919228608,0.08986089882298814,False
F1_alpha,-0.07768647808460284,-0.03393730399568091,0.39476489329973646,0.5883666111517555,16672.0,0.9278913267186374,0.08732260576724833,False
Fp1_alpha,-0.07768647808460284,-0.035851402603288084,0.39476489329973646,0.5884808258865435,16705.0,0.9066362583457499,0.08349092106423052,False
F7_alpha,-0.01675367972054475,0.015652269365571063,0.3481900869690831,0.4940528856383424,16056.0,0.6827875323424979,0.07582288240626578,False
Fp2_delta,0.5451458670619377,0.5113545060387407,0.5376965605161669,0.34354262970772526,16705.0,0.9066362583457499,0.07489438522847283,False
F8_gamma,-1.1155180508668752,-1.0758386552763435,0.5413149297792121,0.5191541431801658,15570.0,0.4219049338710963,0.0748173343653444,False
F4_alpha,-0.04389104882747843,-0.011157517849649206,0.4044052882933288,0.566279218016939,16328.0,0.850958680501505,0.06652553555585408,False
F1_delta,0.545420650734482,0.5204736718445171,0.5130032836014062,0.36697327547794106,16746.0,0.8803229901188219,0.055934244562989795,False
Fp1_delta,0.545420650734482,0.5214819622138958,0.5130032836014062,0.36886514079363514,16717.0,0.8989228809114338,0.0535798714490285,False
F7_gamma,-1.0659759811785137,-1.0872406965511139,0.506819778863049,0.5472279538502779,16974.0,0.737161671545392,0.040319059426788005,False
F8_alpha,0.020242751742247763,0.005966835195466607,0.37162722467329296,0.5126626904287542,17288.0,0.5548753928357912,0.03188488202037964,False
F7_beta,-0.5456098723015698,-0.5500696176475232,0.3144207192288195,0.3679394239293724,16841.0,0.8199060093256667,0.013031508953465576,False
C3_delta,0.13591676153913496,0.13179276320290198,0.42387807411137957,0.2609306057950947,15808.0,0.5418951078287768,0.011717100619664718,False
F3_alpha,-0.05502157641633956,-0.057909385981554956,0.37233639844442223,0.5816015770295953,17130.0,0.643915889245972,0.005913876629334008,False
